id,split,english,luganda,runyankore_rukiga,acholi,ateso,lugbara
SALT-TEST-0028,test,"The signing explained that the team is ready, motivated and eagerly waiting for the match.","Okumuwandiisa kwalaga nti ttiimu nneetegefu, erina amaanyi erindiridde oluzannya.","Omuzaani omusya ashoborwaire ngu tiimu eyeteekateekire, eine omuzimbwe, kandi etegyereize omuzaano n'ekihika kingi.","Latuku ni owaco ni dul tuku gi tye atera, gitye ki gen dok bene gitye ka kuru tuku ni totwal","Abu aitolomio na itodu ebe ekapakina etimu, isinyikokitai ido idarit abolia.","Ba mupira avipi 'bani je o'diru 'da kini amuti mupira avizu 'dari ngonde, ava be azini eyi abala 'da teria okposi"
SALT-TEST-0029,test,How are you going to protect her?,Ogenda kumukuuma otya?,Nooyija kumurinda ota?,Ibigwoko nining?,Epone bo ani ebeitor jo ayuwar ngesi?,Mi nga eri ma agei te ngoni ngoni?
SALT-TEST-0030,test,Some families are struggling to feed their children.,Abazadde abamu bakisanze nga kizibu okufunira abaana baabwe eky'okulya.,Amaka gamwe nigagumirwa kurisya abaana.,Lupaco mogo gitute atuta me nongo gin acama pi jo ma gang.,Eutsi ikalia ice kanu ainanakin idwekec inyamat.,Familia azi 'diyi dri ciria nyaka fezu yi vile anzi 'diyi dri.
SALT-TEST-0031,test,Each minister was asked to deliver a report during the meeting.,Buli minisita yasabibwa okuwa alipoota mu lukungaana.,Buri muheereza wa gavumenti akashabwa kuheerezayo ripoota omu ruteerane.,Kipenyo minista acel acel me miyo ripot i kare me cokke.,Aponi kolimokinai kangoliminisita ayangaun eripot kotoma apak naka airiamunet.,Ba zi minist alu alu yi o'duku sizari fezu sawa drifuzanirisi
SALT-TEST-0032,test,Two oversight bodies were created.,Ebitongole bibiri ebilondoola ebirala byatondebwa.,Ebitongore  by’akareebi bikatebwaho.,Kicako dul aryo ma ngiyo kor tic,Aponi kitolomunai atukona aarei kanu aingarenikin.,Ba e'do enyati azi e'yo ondepini yi iri
SALT-TEST-0033,test,The Allied Democratic Forces were to fight the Kampala government.,Aba Allied Democratic Forces baali baakulwanyisa gavumenti ya Kampala,Abaheekyera ba Allied Democratic forces bakaba bari ab'okurwanisa gavumenti ya Kampala.,Adwi Allied Democratic Forces ono omyero gulweny gamente ma Kampala,Abeit ajore naka Akwap aitiji apugan nako Kampala.,Ngurundua Allied Democratic Forces ni 'diyi dra a'di'di gamete Kampala niri be
SALT-TEST-0034,test,Where does it get money to finance its programs?,Kiggya wa ssente okuddukanya emirimu gyakyo?,Nikihankahi sente z'okwirukyirira entebeekanisa zaabo.,Nongo lim me timo ticgi ki kwene?,Aibo edumanakini ngesi ikapun kanu aigang ipurojektin ke?,Eri sende erini 'bale otita erini 'diyi ma aleari esu ngoa?
SALT-TEST-0035,test,The land is one of the biggest assets our grandfather left us with.,Ettaka kye kimu ku by'obugagga ebisingira ddala jjajja waffe omukyala bye yatulekera.,"Eitaka nikyo kyobugaiga ekirikukirayo obukuru, eki shwenkuru yatusigiire.",Ngom eni obedo gin ma dit loyo ma kwaro wa oweko wa kede,Eraas alupok idiopet kotoma abar na abu papaakosi inyeikina iso.,Nyaku 'da lonyi ambo ndeni ama a'bi ni ndra ku amani 'diyi ma azi
SALT-TEST-0036,test,The government allocated thirteen billion towards containing yellow fever.,Gavumenti yawaayo obuwumbi obuse kkumi na busatu okukwasaganya omusujja gw'enkaka.,Gavumenti ekataho biriyoni ikumi neishatu ez'okukora aha mushwija gw'enkaka.,Gamente omiyo cente bilion apar wiye adek me lweny i kom yellow fever,Abu apugan ijaik ibilionin itomonauni kanu aitikitikio eimidi loidosoikini akonye.,Gamete fe robia silingi bilioni mudrini na azo yellow fever niri atrizu
SALT-TEST-0037,test,Land must be legally registered in the names of the rightful owner.,Ettaka lirina okuwandiisibwa mu mateeka mu mannya ga nannyini lyo omutuufu.,Eitaka rishemereire kuhandikisibwa omu biragiro kandi omu maziina ga mukama waryo.,Ngom omyero ki coo maber inying rwede ki kome,Ekot alupok awadika kotoma okisila ido kokiroria ilopet.,Le 'ba ma si nyaku ma ru va geri azita palaa 'diyisi 'dika nyaku ei ma ru adari si.
SALT-TEST-0038,test,Companies have heavily invested in technology.,Amakampuni gatadde ssente nnyingi nnyo mu tekinologiya.,Zaa kampuni zitiire empiiha nyingi omubya tekinologiya.,Kampuni mapol guketo cente madit I kom tet manyen me kare-ni,Epikakisi ikampunin ikapun luipu noi toma otatai loakwana.,Amuti 'ba vuti aleza angiri e'yo tekenologianiri ma alia ra
SALT-TEST-0039,test,The taxi park is very conducive for carrying out business activities.,Paaka ya takisi nnungi nnyo okukoleramu emirimu.,Taxi paaka eboneire kukoreramu emirimo ya bizinesi.,Taxi park tye maber tutwal pi tic me biacara,Ejok epak kanu aitolosio ebiasara.,Takisi paki 'da anyu azi muke ni tujari 'yezu
SALT-TEST-0040,test,The court accepted that it is true and there is evidence for it.,Kkooti yakkiriza nti kituufu era waliwo obujulizi bwakyo .,"Kooti eikiriize ngu kihikire, kandi hariho obujurizi bwakyo.",Kot oye ni obedo ada dok bene caden tye,Abu adieket ocamu ebe erai abeit ejai ajenanut.,Koti ai ra kini eri e'yo adani dika e'yo e'dapi kini 'ye i ra ada ri ci
SALT-TEST-0041,test,The scholastic materials will be supplied to four schools in the northern region.,Ebikozesebwa mu masomero bijja kugabanyizibwa mu masomero ana mu bitundu by'obukiikakkono.,"Ebintu by'okukozesa omumashomer , nibiija kugabwa omumashomero ana, agarikushangwa omukicweeka kyamatemba ga Uganda.",Jami me kwan magi kibi poko gi bot gangi kwan angwen I kumalo me uganda,"Eponio aikor iboro lu itwasamao osomero, osomeroi iwongon ko Nyakoi.",Ba mu afa ndundu ekile buku eyile kalamu eyi pie 'diyi awa sukulu azi su woko oruleru ri ma alea ni eyi ma alea.
SALT-TEST-0042,test,The government should recover the misappropriated funds.,Gavumenti esaanidde okuzuula ssente ezaabulankanyizibwa.,Govunmenti eshemereire kugaruraho esente ezafiire.,Miri myero ogam lim weng makitiyo kwede I yoo marac.,Ibusakinit apugan ainyakun ikapun lumam itosomatai ejok.,Gamete ma omvi silingi ayule geri onzi si 'diyi be
SALT-TEST-0043,test,The High Court has dismissed the murder case against me.,Kooti enkulu egobye omusango ogw'obutemu ogwampawaabirwa.,Kooti enkuru yaabinga omushango gw'obwisi ogwabaire guntairweho.,Kot obolo woko adot me nek ki koma.,Agoloki Ekooti Loka Apolon emusagoka.,Dwani uruleruri li kesi 'ba 'dizani ma ruari ra
SALT-TEST-0044,test,Smart cities are the future of housing and environmental protection.,Ebibuga ebirimu tekinologiya by'ebiseera by'omu maaso eby'okuzimba n'okukuuma obutonde.,Endembo ezi barikuyonja gye nizirinda gye obuhangwa bw'ensi.,Boma matye ki lengo en aye obedo anyim gwoko odi ki cwec,Isitei lu itemonokitai kes ingaren naka itogoi ka eidare lo ejauetne lo akwap.,Aku ambo alataru 'diyi asi'baza jo siza ni tualu angu amani aa'zu alenia ri ma tambaza niri be ewu drialeri ma alea
SALT-TEST-0045,test,It is illegal for an employee to work without taking leave.,Kimenya mateeka omukozi okukola nga taweebwa luwummula.,Ebiragiro tibirikwikiriza omukozi kukora atarikutunga ekihuumuro.,Cik pe cimo ni latic omyero otii labongo nongo yweyo,Mam ecamakitai eswaman aswam komam ilipi alosite aiyeng.,Azita le ni ku agu azi ngapi ri ni azi ngazu lifu 'duzu kokoru.
SALT-TEST-0046,test,The ferry makes three trips in a day.,Ekidyeri kisomba emirundi esatu mu lunaku.,Ekitashaaya nikigyenda emirundi eshatu burizooba.,Ferry tiyo tyen adek inino acel,Ekeri apotipot isapalin iyarei aparan.,Feri ni aci o'du aluri ma alea paale na
SALT-TEST-0047,test,What is a toe and how is it different from the engine?,Toe ye ki era eyawukana etya ku yingini?,Toe niki kandi neyahukana ete na ingini?,Wirre pa tyen mutoka aryo me anyim (Toe) obedo ngo dok pat ki injin nining?,Inyoin bo akeje naka emotoka ido epone bo ani egelakinor keda einjin loka emotoka?,Afa mutukari ma pa ndrezu toe ru ri a'di afa ni dika eri ma esele coza afa engini ru ri be ngoni?
SALT-TEST-0048,test,Women should be educated about the different opportunities specifically present for them.,Abakyala balina okusomesebwa ku mikisa egy'enjawulo na ddala gye balinawo.,Abakazi bashemereire kushomesibwa ahamigisha erikuba eriho ahabwaabo.,Omyero ki rwee mon i kom gum mapat pat matye pi gi,Ekot angor aitosiom nuikamunitos iboro luegelegela tetere kanu arerengesio nu akopana.,Ba nga oku eyini imbata fe drileba ndundu eyini 'diyi ma dria
SALT-TEST-0049,test,She promised to give me a call in an hour.,Yasuubizza okunkubirako mu ssaawa emu.,Akaraganisa kunteerera omu shaaha emwe.,Ocikke me goona cim ingee cawa acel.,Abu ngesi kisumun ainomakin eong esimu kosawa ediope.,So oyo madri simu egbazu sawa alu ma alia.
SALT-TEST-0050,test,He bought for his mother a silver bracelet.,Yagulira maama we amajolobera aga feeza.,Akagurira nyina akagoye k'okwehundisa akazirwe omu feeza.,En owilo gingut ma kalane meny amenya bot mine.,Abu ngesi kogwelak totoke amedelit naka akan naka epuesa.,Eri je i ma andri dri emve dria dahaburuni'i
SALT-TEST-0051,test,The closed-circuit television cameras were installed in Kampala Metropolitan Policing Area.,Kkamera  enkessi zaateekebwa mu Kampala n'ebitundu ebiriraanyeewo.,Kamera -entatsi eza CCT bakazita omuri Kampala n'emyanya eyetooroire orurembo.,"Kamera ma menyo piny pi niang cawa ma bal otime iye kiketo gi I dye boma madit me Kampala, kama abili tiyo iye",Aponi kipikakina akameran toma aiboisio nuko Kampala neipu itunga.,Ba osu afa ondredrea ni angu ondrezu 'diyi angu azita o'bazu Kampala Metropolitan ni ma alia
SALT-TEST-0052,test,There are quite many others in that field.,Waliwo abalala bangi mu nsiike eyo.,Harimu abandi bingi omu mwoga ogwo.,Jo mukene mapol bene tye I tenge enoni.,Ipu itunga luejaasi toma aswam ngin.,Yi ma kalafe nde afa yi ni 'ye ri ma alia
SALT-TEST-0053,test,He has been voted president of the country.,Alondeddwa okuba omukulembeze w'eggwanga.,Yarondwa kuba omwebembezi  w'ihanga.,Kiyere me bedo ladit lobo ne.,Aseun ngesi kwape lokapolon akwap loka akwapuwok.,Ba ebi eri pe prisdent kariniriru.
SALT-TEST-0054,test,The police set him free as they could not find enough evidence against him.,Poliisi yamuta olw'okulemererwa okufuna obujulizi obumala obumulumika.,Poriisi ekamurekura ahabw'okuburwa obuhame burikumara bw'okworeka ngu n'enkozi ya bibi.,Polic ogonye woko pien onongo pe gitwero nongo caden ma moko ni en otimo bal mo.,Apotu ipolisin kolacakisi ngesi naarai mam kesi apedorete adumun adiokiro nuitogogongitos emusagoke.,Polisi ku eri ja yini ecozu e'yo ecezaruni isuzu capirisi kurisi
SALT-TEST-0055,test,Avoid contact with disease-infected people to prevent the spread of certain diseases.,Weewale okwetaba n'abantu abalwadde okwewala okusaasaana kw'endwadde ezimu.,Yetantare kuhikaana n'abantu abaine endwara okubaasa kuzibira okujanjaara kw'endwara ezimwe.,Gwoke pe ibed kacel ki dano matwo pi gengo nyayo two mukene,Mam igonganakinos keda itunga lu esurokit adeka kanu aitikokin awearo na acie adekasinei.,Le mi eci mi 'ba azoru 'diyi pie ku azo eyi ma ereta atrizu
SALT-TEST-0056,test,"Currently, we are raising funds to build the boys' dormitory.",Essaawa eno tusonda ssente okuzimba ebisulo by'abalenzi.,Obwahati niturundaana esente z'okwombeka oburaaro bw'aboojo.,"icawa ni, watye ka rayo cente me yubu ot butu pa awobe","Kopana, ituki iso ikapun kanu adukio ne eperete isap osomero.","Sa'wa 'disi, ama robia traria jo sukulu anzi agupianzi ru 'diyini lazuri sizu"
SALT-TEST-0057,test,The bank established agent and digital banking to extend banking services to the people.,Bbanka yatandiseewo enkola ya agenti ne digito banking okugaziya empereza zaayo eri abantu .,Banka ekatandikaho enkora ya baagenti hamwe n'eya kompyuta okubaasa kuhisya obuheereza omu bantu.,Bang eni oyabbo me tic ki agenti ki bene diro me cim wek dano mapol onong kony kibotgi,Abu aingadis ikapun itolomu eswamae loka aingada ikapun itosomaete elago kanu aisiekikin ejanakine otunga.,Erojo 'da e'do arakala nyiri azakoma fezu 'diyi tualu azakoma fele olialiasiri be azakoma fele o'bi eyidri ri edrizu 'ba eyivu
SALT-TEST-0058,test,Our family had nowhere to go after our house had been destroyed in the flood.,Ab'omu maka gaffe tebaalina wa kulaga oluvannyuma lw'ennyumba yaffe okusanyizibwawo amataba.,Eka yaitu ekaba etaine aherikubaasa kugyenda bwanyima y'enju yaitu kushishwa omwegyemure.,Lupacona onongo pe gitye ka mo ma girimo cito iye ma pii aluka obalo odiwa.,Amamei nabeit ekalekosi alosit akaulo namudiara ebulone etogokosi.,Ama vile familiari ma pari azi muzuni 'yo yi tizarini ama vile jo ezazu 'bori ma vutia.
SALT-TEST-0059,test,Her parents created a college savings account after her birth.,"Bwe yamala okuzaalibwa, bazadde be baamuggulirawo akawunta kwe bassa ssente ze ez'essomero.",Abazirebe bakatandika kubiika sente kubamuziire.,Lunyodo ne guyabo akaunt me gwoko cente me culu kwan mege I ngee nywale.,Apotu auriakake kiswamautu akant naka aimono ikapun luka asiomanike akaulo nawurunere nges.,Eri ma tipika nzi okporo sende ta mbazu anzi dri omvele college savings account erini osizu 'bori ma vutia
SALT-TEST-0060,test,Very few women have an interest in football.,Abakazi batono nnyo abaagala omupiira gw'ebigere.,Ni abakazi bakye abarikuhagira omupiira gw'ebigyere.,Mon manok adada aye gitye ki miti I kom odilo.,Ikidioko angor lueminasi emopira.,Oku were 'ba asi mupira tuzari ma driani
SALT-TEST-0061,test,What do you want to talk about?,Oyagala kwogera ku ki?,Nooyenda kugamba ahari ki?,Imito lok I kom gin ango?,Ikoto jo einer nuikamunit inyo?,Ele e'yo nze a'du ma dria?
SALT-TEST-0062,test,Lodges are relatively cheaper than hotels.,Loogi zitera kuba za miwendo mitono bw'ogeraageranya ku wooteeri.,Zaaroogi  tizirikuzimba waagyeragyeranisa na zaahooteeri,Pol kare wel lodge yot  maloyo wel otel,Edit eitai loka ilojin adepar ioterin.,Loji yi nde were aje elesi aka hoteli yi ra
SALT-TEST-0063,test,He was not impeached.,Teyavunaanibwa.,Tarajunainwe,Pe ki kwanye ki itic,Mam nges aponi olemarai.,Ba awini eri nze azi pari erini ma alea risi kuye
SALT-TEST-0064,test,Medical bills are very expensive.,Ebisale by'eddwaliro binene.,Ebishare by'eirwariro n'eby'omuhendo gw'ahaiguru.,Wel cul me ot yat dit tutwal.,Epol etiai loka amukian kadekis.,Aro isuza ma ajeru tu
SALT-TEST-0065,test,I enjoyed watching the animal documentary.,Nnanyumirwa nnyo okulaba firimu y'ebisolo.,Nkashemezibwa okureeba akatambi k'eb'yenyamaishwa.,Neno lok angeya ikum lee pwud dong oyomo cwinya tutwal.,Aminakinit eong asesen ebidio loka itiang.,Ma ayiko isu senema e'yo anyapa yi ma driariniri ndrezasi ra
SALT-TEST-0066,test,She had a voice singing outside the door.,Yawulira eddoboozi ly'omuntu ayimbira wabweru w'oluggi.,Akahurira iraka niryeshongora aheru yogwigi.,Owinyo dwon matye ka wer woko.,Abu ngesi kopup eporot ewoi kokinga.,Eri o'duko ongo ngoria jotilia amveleru
SALT-TEST-0067,test,Members of parliament represent community members at a national level.,Ababaka ba paalamenti bakiikirira abantu mu bitundu ku mutendera gw'eggwanga.,"Abakiiki omwishengyero, nibajwekyera abantu b'omubyaro aharurengo rweihanga.",Lumemba me ot moko cik gicung pi lwak me ka bedogi,Ebwoikitos imeeban luka airabet itunga adoketait nakokuju.,Azi'ba koloseni ni 'diyi pa tu 'ba ongulumua 'diyi ma paria kari ma alea ndulu.
SALT-TEST-0068,test,The new government brought forward the Sudanese economic revival plan.,Gavumenti empya yaleeta enteekateeka ez'okuzza ebyenfuna bya Sudan ku luguudo.,Gavumenti entsya eyimukize entekateeka y’okutunguura ebyentatsya.,Gamente manyen okatti ki yub me roco tic me lim ki cato wil me lobo Sudan.,Abu apugan naitetet koyangau ainapeta nuka Sudan kanu aisikwarun edumunekec loka ikapun.,Gavumete o'di ri eji otita erini lezu lonyi kari niri otuzu ri 'bo
SALT-TEST-0069,test,She likes eating rice with chicken.,Ayagala nnyo okulya omuceere n'ennyama.,Nakuunda okurya omuceeri hamwe na enkoko.,En maro camo ringo gweno ki mucele.,Emina ngesi ainyam emuceri keda akokor.,Eri le mucele ausiri nyaza tu.
SALT-TEST-0070,test,Things are very bad in the district.,Ebintu bibi nnyo mu disitulikiti.,Ebintu ni biibi munonga omu disiturikiti.,Jami tye marac I dicitrwik ne.,Erono ejautene loka edisitrikita.,E'yo distikti ma alia 'diyi onzikanya ru tu
SALT-TEST-0071,test,"When some people die, their property is presided over by their relatives.","Abantu abamu bwe bafa, ebintu byabwe birabirirwa ab'enganda zaabwe.","Abantu abamwe ku barikufa,ebintu byabo bitwarwa abanyabuzaare.","Ka dano mogo guto, wadigi aye gigwoko jamigi ma odong.","Etwakata icetunga, irumete ipajanakec iborokec.","Ba azi 'diyi ka dra 'dini, yi ori'ba yi okpo 'du afa lonyiru yini 'diyi ma driani"
SALT-TEST-0072,test,The district has extended counselling services to the refugees.,Disitulikiti esembezza enkola y'okubudaabuda eri abanoonyiboobubudamu,Disiturikiti ehikize obuheereza bw'okuhuumuriza aha mpungi.,dictrikocwalo kony me miyo tam bot luring ayella,Abu edisitrikt isiekik ainapeta  lu aicorio nejaas ikerai.,Distrikiti edri azakoma asi omiza ni 'diyi emunyale eyini
